sl_no,name,release_date,denomination,quantity,printer,stamp_images,fdc_images,brochure_pdf
18,Kargil Vijay Diwas Silver Jubilee 2024,26.07.2024,500 p,"3,04,000","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Kargil stamp.jpg,https://postagestamps.gov.in/Uploads/2024\Kargil Vijay Diwas FDC- CDR.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Kargil Vijay Diwas.pdf
19,XXXIII Olympics Paris 2024,05.08.2024,500 p (4),"1,11,000","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Olympic Stamp.jpg,https://postagestamps.gov.in/Uploads/2024\Olympic FDC 30-7-24 Revised with stamp.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Olympics Paris 2024 (4).pdf
20,Supreme Court of India – 75 Years,31.08.2024,1000 p,"2,11,000","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Supreme Court Stamp.jpg,https://postagestamps.gov.in/Uploads/2024\Supreme Court FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Supreme Court of India (2).pdf
21,Diamond Jubilee of Rajbhasha,14.09.2024,500 p,"3,05,950","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\DIAMOND JUBILEE OF RAJBHASHA STAMP(1) (1).jpg,https://postagestamps.gov.in/Uploads/2024\RAJBHASHA FDC with cancellation_page-0001(1).jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-RAJBHASHA.pdf
22,Joint stamp issue India-Romania | Folk Costumes | 75 Years of Diplomatic Relations,17.09.2024,5000 p (2),"1,13,700","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Stamp India-Romania Miniature sheet.jpg,https://postagestamps.gov.in/Uploads/2024\FDC India-Romania.jpg,https://postagestamps.gov.in/..\Pdf\2024\Final Brochure-India-Romania (2).pdf
23,100th Birth Anniversary of Akkineni Nageswara Rao,20.09.2024,1000 p,"3,28,800","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\ANR Stamp Final.jpg,https://postagestamps.gov.in/Uploads/2024\ANR FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Akkineni Nageswara Rao (3).pdf
24,150th Anniversary of Universal Postal Union,09.10.2024,1500 p (3),"1,11,350","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Stamp 150th Anniversary of Universal Postal Union.jpg,https://postagestamps.gov.in/Uploads/2024\FDC 150th Anniversary of Universal Postal Union.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Universal Postal Union (1).pdf
25,200 Years of Kittur Vijayotsava,23.10.2024,500 p,"3,03,850","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Final Stamp Kittur 17.jpg,https://postagestamps.gov.in/Uploads/2024\Kittur cancelled FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Kittur Vijayotsava (4).pdf
26,VadtalDham Dwishatabdi Mahotsav,09.11.2024,500 p,"3,05,400","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\vadtal jpg.jpg,https://postagestamps.gov.in/Uploads/2024\vadtal cancelled fdc.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Vadtal Dham Dwishtabdi (2) (1).pdf
27,Acharya Shantisagar Muni Maharaj,10.11.2024,500 p,"3,03,450","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Shantisagar-stamp.jpg,https://postagestamps.gov.in/Uploads/2024\Shantisagar-FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Shantisagar Muni Maharaj.pdf
28,100 Years of Hindustan Times,16.11.2024,500 p,"3,03,120","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\HT STAMP final.jpg,https://postagestamps.gov.in/Uploads/2024\HT Cancelled FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Hindustan Times (3).pdf
29,Sickle Cell Eradication – 2047,15.11.2024,500 p,"2,02,800","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Sickle cell Stamp Final final.jpg,https://postagestamps.gov.in/Uploads/2024\FDC Sickle cell Final Cancelled.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Sickle Cell Eradication - 2047 (4).pdf
30,150th Birth Anniversary of Birsa Munda,15.11.2024,500 p,"2,02,800","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Birsa Munda Stamp.jpg,https://postagestamps.gov.in/Uploads/2024\Birsa Munda FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Birsa Munda.pdf
31,Pujya Dada Bhagwan,10.11.2024,500 p,"4,10,000","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Dada Bhagwan.jpg,https://postagestamps.gov.in/Uploads/2024\FDC DESIGN f.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Pujya Dada Bhagwan (5).pdf
32,125th Birth Anniversary of Dr. Harekrushna Mahtab,21.11.2024,500 p,"2,02,800","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\HAREKRUSHNA MAHTAB Stamp.jpg,https://postagestamps.gov.in/Uploads/2024\HAREKRUSHNA MAHTAB FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Dr. Harekrushna Mahtab (2) (2).pdf
33,International Year of Cooperatives,25.11.2024,500 p,"3,02,800","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\ICA STAMP FINAL.jpg,https://postagestamps.gov.in/Uploads/2024\ICA FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure International Year of Cooperatives.pdf
34,75TH  ANNIVERSARY OF CONSTITUTION,26.11.2024,500 p,"2,02,800","Security Printing Press, Hyderabad",https://postagestamps.gov.in/Uploads/2024\Constitution Stamp.jpg,https://postagestamps.gov.in/Uploads/2024\Constitution FDC.jpg,https://postagestamps.gov.in/..\Pdf\2024\Brochure-Constitution (2).pdf
